ALL POOL GAMES,,,,,,,,,,,
,,,,,,,,,,,
A,Team,Score,,Score,Team,Field,Time,,,Seed,Final positions after re-seed
A1 v A3,Awadh KHELadis,14, v ,10,Lucknow Scorpions,4,8:30 am - 9:45 am,,1A,1,Awadh KHELadis
A1 v A2,Awadh KHELadis,15, v ,9,Disc Positive,4,10:45 am - 12:00 pm,,2A,7,Lucknow Scorpions
A2 v A3,Disc Positive,10, v ,11,Lucknow Scorpions,4,1:00 pm - 2:15 pm,,3A,9,Disc Positive
,,,,,,,,,,,
B,Team,Score,,Score,Team,Field,Time,,,Seed,Final positions after re-seed
B1 v B3,GK Mad,15, v ,7,Udta Kebabs,3,8:30 am - 9:45 am,,1B,2,GK Mad
B1 v B2,GK Mad,15, v ,2,FS Sacred Discs,3,10:45 am - 12:00 pm,,2B,8,Udta Kebabs
B2 v B3,FS Sacred Discs,10, v ,12,Udta Kebabs,3,1:00 pm - 2:15 pm,,3B,10,FS Sacred Discs
,,,,,,,,,,,
C,Team,Score,,Score,Team,Field,Time,,,Seed,Final positions after re-seed
C1 v C3,Storm Chasers,15, v ,3,Stray Dogs In Sweaters B,1,8:30 am - 9:45 am,,1C,3,Jumbish Fire
C1 v C2,Storm Chasers,9, v ,13,Jumbish Fire,1,10:45 am - 12:00 pm,,2C,5,Storm Chasers
C2 v C3,Jumbish Fire,15, v ,1,Stray Dogs In Sweaters B,1,1:00 pm - 2:15 pm,,3C,11,Stray Dogs In Sweaters B
,,,,,,,,,,,
D,Team,Score,,Score,Team,Field,Time,,,Seed,Final positions after re-seed
D1 v D3,Flying Spirits,15, v ,3,"RTFC, kshamtalaya",2,8:30 am - 9:45 am,,1D,4,Flying Spirits
D1 v D2,Flying Spirits,11, v ,10,Jumbish Catchers,2,10:45 am - 12:00 pm,,2D,6,Jumbish Catchers
D2 v D3,Jumbish Catchers,12, v ,4,"RTFC, kshamtalaya",2,1:00 pm - 2:15 pm,,3D,12,"RTFC, kshamtalaya"
,,,,,,,,,,,
ALL CROSS POOL + SEEDING ,,,,,,,,,,Rank, Team Name
,Team,Score,,Score,Team,,,,1E,9,
1v3,Awadh KHELadis,11, v ,10,Jumbish Fire,,,,2E,10,
2v4,GK Mad,15, v ,11,Flying Spirits,,,,3E,11,
5v12,Storm Chasers,15, v ,0,"RTFC, kshamtalaya",,,,4E,12,
6v11,Jumbish Catchers,15, v ,4,Stray Dogs In Sweaters B,,,,,,
7v10,Lucknow Scorpions,9, v ,8,FS Sacred Discs,,,,,,
8v9,Udta Kebabs,15, v ,10,Disc Positive,,,,,,
Round Robin - After Reseeding - Sunday 15th January,,,,,,,,,,,
E,Team,Score,,Score,Team,Field,Time,,,,
E2 v E4,FS Sacred Discs,, v ,,"RTFC, kshamtalaya",4,10:00 am - 11:15 am,,,,
E1 v E3,Disc Positive,, v ,,Stray Dogs In Sweaters B,3,10:00 am - 11:15 am,,,,
E1 v E2,Disc Positive,, v ,,FS Sacred Discs,3,1:00 pm-2:15 pm,,,,
E3 v E4,Stray Dogs In Sweaters B,, v ,,"RTFC, kshamtalaya",4,1:00 pm-2:15 pm,,,,
E1 v E4,Disc Positive,, v ,,"RTFC, kshamtalaya",3,4:00 pm - 5:15 pm,,,,
E2 v E3,FS Sacred Discs,, v ,,Stray Dogs In Sweaters B,4,4:00 pm - 5:15 pm,,,,
