"Bracket Play","","","","","","","","","","","","","","","","","","","","Final Rankings","","",""
"","1","Airbenders One","8","┐","","","","","","","","","","","","","","","","1","ATC","899","917"
"","","","","│","","","","","","","","","","","","","","","","2","Girgitle","866","883"
"","3","ATC","11","┤","","","","","","","","","","","","","","","","3","Stall 7","852","869"
"","","","","│","","","","","","","","","","","","","","","","4","Breakside (TIKS)","838","855"
"","","","","│","","","","","","","","","","","","","","","","5","L2F","791","807"
"","","","","│","","","","","","","","","","","","","","","","6","NFZ","755","770"
"","2","Stall 7","15","┤","","","","","","","","","","","","","","","","7","Airbenders One","738","753"
"","","","","│","","","","","","","","","","","","","","","","8","Slipdiisc","566","577"
"","4","L2F","14","┤","","","","","","","","","","","","","","","","9","DoD","449","458"
"","","","","├","1","Airbenders One","6","┐","","","","","","","","","","","","10","OpenSide (TIKS)","424","432"
"","","","","│","","","","│","","","","","","","","","","","","11","CFT","399","407"
"","","","","├","8","Girgitle","15","┤","","","","","","","","","","","","12","Alma Mater","378.6","386"
"","8","Girgitle","9","┤","","","","└","1","Girgitle","14","┐","","","","","","","","13","Airbenders Neo","358.2","365"
"","","","","│","","","","","","","","│","","","","","","","","14","Phoenix","337.8","345"
"","9","DoD","10","┤","","","","┌","4","Breakside (TIKS)","8","┤","","","","","","","","15","Hammer that zone-2","317.4","324"
"","","","","├","5","Breakside (TIKS)","9","┤","","","","│","","","","","","","","16","Hammer that zone-1","297","303"
"","","","","│","","","","│","","","","│","","","","","","","","","","",""
"","","","","├","4","L2F","8","┘","","","","│","","","","","","","","","","",""
"","7","NFZ","15","┤","","","","","","","","└","1","Girgitle","8","┐","","","","","","",""
"","","","","│","","","","","","","","","","","","├","1","ATC","","","","",""
"","10","OpenSide (TIKS)","5","┤","","","","","","","","┌","2","ATC","11","┘","","","","","","",""
"","","","","├","3","ATC","13","┐","","","","│","","","","","2","Girgitle","","","","",""
"","","","","│","","","","│","","","","│","","","","","","","","","","",""
"","","","","├","6","Slipdiisc","5","┤","","","","│","","","","","","","","","","",""
"","6","Slipdiisc","11","┤","","","","└","3","ATC","12","┤","","","","","","","","","","",""
"","","","","│","","","","","","","","│","","","","","","","","","","",""
"","11","Alma Mater","5","┤","","","","┌","2","Stall 7","10","┘","","","","","","","","","","",""
"","","","","├","7","NFZ","5","┤","","","","","","","","","","","","","","",""
"","","","","│","","","","│","","","","","","","","","","","","","","",""
"","","","","├","2","Stall 7","15","┘","","","","","","","","","","","","","","",""
"","5","Breakside (TIKS)","6","┤","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","12","CFT","12","┤","","","","","","","","","3","Stall 7","13","┐","","","","","","",""
"","","","","│","","","","","","","","","","","","├","3","Stall 7","","","","",""
"","","","","│","","","","","","","","","4","Breakside (TIKS)","10","┘","","","","","","",""
"","","","","│","","","","","","","","","","","","","4","Breakside (TIKS)","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","8","Airbenders One","12","┐","","","","","","","","","","",""
"","","","","│","","","","","","","","│","","","","","","","","","","",""
"","","","","│","","","","","5","L2F","13","┤","","","","","","","","","","",""
"","","","","│","","","","","","","","└","5","L2F","12","┐","","","","","","",""
"","","","","│","","","","","","","","","","","","├","5","L2F","","","","",""
"","","","","│","","","","","","","","┌","6","NFZ","7","┘","","","","","","",""
"","","","","│","","","","","6","Slipdiisc","8","┤","","","","","6","NFZ","","","","",""
"","","","","│","","","","","","","","│","","","","","","","","","","",""
"","","","","│","","","","","7","NFZ","10","┘","","","","","","","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","","","","","7","Slipdiisc","1","┐","","","","","","",""
"","","","","│","","","","","","","","","","","","├","7","Airbenders One","","","","",""
"","","","","│","","","","","","","","","8","Airbenders One","15","┘","","","","","","",""
"","","","","│","","","","","","","","","","","","","8","Slipdiisc","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","","","","│","","","","","","","","","","","","","","","","","","",""
"","13","#N/A","15","┤","9","DoD","13","┐","","","","","","","","","","","","","","",""
"","","","","│","","","","│","","","","","","","","","","","","","","",""
"","15","#N/A","4","┤","16","Airbenders Neo","9","┤","","","","","","","","","","","","","","",""
"","","","","│","","","","└","9","DoD","13","┐","","","","","","","","","","",""
"","","","","│","","","","","","","","│","","","","","","","","","","",""
"","","","","│","","","","┌","12","CFT","7","┤","","","","","","","","","","",""
"","14","#N/A","15","┤","13","Hammer that zone-1","7","┤","","","","│","","","","","","","","","","",""
"","","","","│","","","","│","","","","│","","","","","","","","","","",""
"","16","#N/A","11","┤","12","CFT","13","┘","","","","│","","","","","","","","","","",""
"","","","","│","","","","","","","","└","9","DoD","15","┐","","","","","","",""
"","","","","│","","","","","","","","","","","","├","9","DoD","","","","",""
"","","","","│","","","","","","","","┌","10","OpenSide (TIKS)","3","┘","","","","","","",""
"","","","","├","11","Alma Mater","15","┐","","","","│","","","","","10","OpenSide (TIKS)","","","","",""
"","","","","│","","","","│","","","","│","","","","","","","","","","",""
"","","","","├","14","Phoenix","2","┤","","","","│","","","","","","","","","","",""
"","","","","│","","","","└","11","Alma Mater","8","┤","","","","","","","","","","",""
"","","","","│","","","","","","","","│","","","","","","","","","","",""
"","","","","│","","","","┌","10","OpenSide (TIKS)","9","┘","","","","","","","","","","",""
"","","","","├","15","Hammer that zone-2","3","┤","","","","","","","","","","","","","","",""
"","","","","│","","","","│","","","","","","","","","","","","","","",""
"","","","","└","10","OpenSide (TIKS)","14","┘","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","11","Alma Mater","10","┐","","","","","","",""
"","","","","","","","","","","","","","","","","├","11","CFT","","","","",""
"","","","","","","","","","","","","","12","CFT","12","┘","","","","","","",""
"","","","","","","","","","","","","","","","","","12","Alma Mater","","","","",""
"","","","","","","","","","16","Airbenders Neo","12","┐","","","","","","","","","","",""
"","","","","","","","","","","","","│","","","","","","","","","","",""
"","","","","","","","","","13","Hammer that zone-1","9","┤","","","","","","","","","","",""
"","","","","","","","","","","","","└","13","Airbenders Neo","14","┐","","","","","","",""
"","","","","","","","","","","","","","","","","├","13","Airbenders Neo","","","","",""
"","","","","","","","","","","","","┌","14","Phoenix","10","┘","","","","","","",""
"","","","","","","","","","14","Phoenix","13","┤","","","","","14","Phoenix","","","","",""
"","","","","","","","","","","","","│","","","","","","","","","","",""
"","","","","","","","","","15","Hammer that zone-2","12","┘","","","","","","","","","","",""
"","","","","","","","","","","","","","15","Hammer that zone-2","11","┐","","","","","","",""
"","","","","","","","","","","","","","","","","├","15","Hammer that zone-2","","","","",""
"","","","","","","","","","","","","","16","Hammer that zone-1","4","┘","","","","","","",""
"","","","","","","","","","","","","","","","","","16","Hammer that zone-1","","","","",""
