"Saturday Group Games - 1st October, 2022",,,,,,,,,,,,,
,,,,,,,,,,,,Final Positions after reseed,
A,Team,Score,Score,Team,,B,Team,Score,Score,Team,,Seed,Team Name
A1 V A2,Airbenders One,13,6,DoD,,B1 V B2,Girgitle,10,14,Stall 7,,1,Airbenders One
A1 V A3,Airbenders One,15,6,NFZ,,B1 V B3,Girgitle,15,3,Airbenders Neo,,2,Stall 7
A1 v A4,Airbenders One,15,1,Hammer that zone - 2,,B1 V B4,Girgitle,15,6,OpenSide (TIKS),,3,ATC
A2 v A3,DoD,9,11,NFZ,,B2 V B3,Stall 7,15,4,Airbenders Neo,,4,L2F
A2 v A4,Dod,15,6,Hammer that zone - 2,,B2 V B4,Stall 7,15,3,OpenSide (TIKS),,5,Breakside (TIKS)
A3 v A4,NFZ,11,4,Hammer that zone - 2,,B3 V B4,Airbenders Neo,8,13,OpenSide (TIKS),,6,Slipdiisc
,,,,,,,,,,,,7,NFZ
,,,,,,,,,,,,8,Girgitle
,,,,,,,,,,,,9,DoD
C,Team,Score,Score,Team,,D,Team,Score,Score,Team,,10,OpenSide (TIKS)
C1 V C2,ATC,9,7,Breakside (TIKS),,D1 V D2,Slipdiisc ,8,11,L2F,,11,Alma Mater
C1 V C3,ATC,15,3,Hammer that zone-1,,D1 V D3,Slipdiisc ,11,6,CFT,,12,CFT
C1 V C4,ATC,15,3,Alma Matter,,D1 V D4,Slipdiisc ,14,6,Phoenix,,13,Hammer that zone-1
C2 V C3,Breakside (TIKS),15,3,Hammer that zone-1,,D2 V D3,L2F,15,7,CFT,,14,Phoenix
C2 V C4,Breakside (TIKS),15,4,Alma Matter,,D2 V D4,L2F,15,3,Phoenix,,15,Hammer that zone-2
C3 V C4,Hammer That zone -1,6,13,Alma Matter,,D3 V D4,CFT,15,9,Phoenix,,16,Airbenders Neo
