SEEDINGS & GROUPS,,,,,,,,,,,,,,,
Open Seeding,,,,Group A,Seed,,Team,,Group E,Seed,Team,,Women's Seeding,,
Seed,Team,Points,,A1,1,,Spinergy,,E1,1,Spinborne (Airborne + Spinergy),,Seed,Team,Points 
1,Spinergy,471,,A2,3,,Airbenders,,E2,3,Stall 7,,1,Spinborne (Airborne + Spinergy),463
2,Airborne,455,,A3,6,,ATC,,E3,6,ATC + CFT,,2,Airbenders,449.5
3,Airbenders,449.5,,A4,8,,Callahans,,E4,8,Pucca (Puyal + Callahans),,3,Stall 7,434.5
4,Stall7,434.5,,A5,9,,No Fly Zone,,E5,9,Alma Matter + Doesn't Matter,,4,L2F,433
5,L2F,433,,A6,11,,Alma Matter,,Group F,Seed,Team,,5,TIKS,395.5
6,ATC,431.5,,A7,14,,Sapthavyuha,,F1,2,Airbenders,,6,ATC + CFT,307.5
7,TIKS,395.5,,Group B,Seed,,Team,,F2,4,L2F,,7,No Fly Zone,272
8,Callahans,323.5,,B1,2,,Airborne,,F3,5,TIKS,,8,Pucca (Puyal + Callahans),233
9,No Fly Zone,272,,B2,4,,Stall7,,F4,7,No Fly Zone,,9,Alma Matter + Doesn't Matter,156.25
10,CFT,183.5,,B3,5,,L2F,,F5,10,SpyBITS (BPHC + Sapthavyuha),,10,SpyBITS (BPHC + Sapthavyuha),N/A
11,Alma Matter,193,,B4,7,,TIKS,,,,,,,,
12,BPHC,149.5,,B5,10,,CFT,,,,,,,,
13,Puyal,142.5,,B6,12,,BPHC,,,,,,,,
14,Sapthavyuha,50,,B7,13,,Puyal,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Seeding Offset,,,,,,,,,,,
,,,,"As you may have noticed, some seeds are offset from the usual positions. This is there to reduce the possibility of (and in most cases prevent) rematches till the semi-final stage. Offset pools is the standard method used by WFDF to adjust for cross over games.",,,,,,,,,,,
